Date,Name,Type
2017-09-30,Dussehra,National/Observed
2017-10-01,Muharram,National/Observed
2017-10-02,Mahatma Gandhi's Jayanti,National/Observed
2017-10-19,Diwali (Deepavali),National/Observed
2017-11-04,Guru Nanak's Jayanti,National/Observed
2017-12-02,Milad-un-Nabi,National/Observed
2017-12-25,Christmas,National/Observed
2018-01-26,Republic Day,National/Observed
2018-02-13,Maha Shivaratri,National/Observed
2018-03-02,Holi,National/Observed
2018-03-29,Mahavir Jayanti,National/Observed
2018-03-30,Good Friday,National/Observed
2018-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2018-04-30,Buddha Purnima,National/Observed
2018-06-16,Id-ul-Fitr,National/Observed
2018-08-15,Independence Day,National/Observed
2018-08-22,Id-ul-Zuha (Bakrid),National/Observed
2018-09-03,Janmashtami (Vaishnava),National/Observed
2018-09-21,Muharram,National/Observed
2018-10-02,Mahatma Gandhi's Jayanti,National/Observed
2018-10-19,Dussehra,National/Observed
2018-11-07,Diwali (Deepavali),National/Observed
2018-11-21,Milad-un-Nabi,National/Observed
2018-11-23,Guru Nanak's Jayanti,National/Observed
2018-12-25,Christmas,National/Observed
2019-01-26,Republic Day,National/Observed
2019-03-04,Maha Shivaratri,National/Observed
2019-03-21,Holi,National/Observed
2019-04-13,Ram Navami,National/Observed
2019-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2019-04-17,Mahavir Jayanti,National/Observed
2019-04-19,Good Friday,National/Observed
2019-05-18,Buddha Purnima,National/Observed
2019-06-05,Id-ul-Fitr,National/Observed
2019-08-12,Id-ul-Zuha (Bakrid),National/Observed
2019-08-15,Independence Day,National/Observed
2019-08-24,Janmashtami (Vaishnava),National/Observed
2019-09-10,Muharram,National/Observed
2019-10-02,Mahatma Gandhi's Jayanti,National/Observed
2019-10-08,Dussehra,National/Observed
2019-10-27,Diwali (Deepavali),National/Observed
2019-11-10,Milad-un-Nabi,National/Observed
2019-11-12,Guru Nanak's Jayanti,National/Observed
2019-12-25,Christmas,National/Observed
2020-01-26,Republic Day,National/Observed
2020-03-10,Holi,National/Observed
2020-04-02,Ram Navami,National/Observed
2020-04-06,Mahavir Jayanti,National/Observed
2020-04-10,Good Friday,National/Observed
2020-04-14,Dr. B. R. Ambedkar's Jayanti,National/Observed
2020-05-07,Buddha Purnima,National/Observed
2020-05-25,Id-ul-Fitr,National/Observed
2020-08-01,Id-ul-Zuha (Bakrid),National/Observed
2020-08-12,Janmashtami (Vaishnava),National/Observed
2020-08-15,Independence Day,National/Observed
2020-08-30,Muharram,National/Observed
2020-10-02,Mahatma Gandhi's Jayanti,National/Observed
2020-10-25,Dussehra,National/Observed
2020-10-30,Milad-un-Nabi,National/Observed
2020-11-14,Diwali (Deepavali),National/Observed
2020-11-30,Guru Nanak's Jayanti,National/Observed
